module,members,admitted_genes,calls,supported,terms
814,CHMP1A; CHMP1B; CHMP2A; CHMP3; CHMP5; IST1; RNF11; STAMBP; VPS4A; VPS4B; VTA1,CHMP1B; CHMP3; STAMBP; VTA1,6,1,GO:0050792 regulation of viral process; GO:0019076 viral release from host cell; GO:0045324 late endosome to vacuole transport
1535,ANKRD30B; INPP5K; KRIT1; NR4A2; NR5A2; VGLL2,KRIT1,5,0,GO:0010829 negative regulation of glucose transmembrane transport; GO:0021953 central nervous system neuron differentiation; GO:0043576 regulation of respiratory gaseous exchange; GO:0071376 cellular response to corticotropin-releasing hormone stimulus; GO:0097720 calcineurin-mediated signaling
2282,ANAPC13; ANAPC15; ANAPC5; UBE2C; UBE2S,ANAPC15; UBE2C; UBE2S,5,3,GO:0005680 anaphase-promoting complex *; GO:0035519 protein K29-linked ubiquitination
1810,CCDC159; HMMR; PRKAB1; RAPGEF3; SHH; SLC48A1,PRKAB1,5,0,GO:0014706 striated muscle tissue development; GO:0015886 heme transport; GO:0017034 Rap guanyl-nucleotide exchange factor activity; GO:0090370 negative regulation of cholesterol efflux; GO:2001054 negative regulation of mesenchymal cell apoptotic process
2013,CBFB; LEF1; RUNX1; STYX; YBX1,YBX1,5,0,GO:0016202 regulation of striated muscle tissue development; GO:0030284 estrogen receptor activity; GO:0045637 regulation of myeloid cell differentiation; GO:0045843 negative regulation of striated muscle tissue development; GO:0048341 paraxial mesoderm formation
1780,DPF2; RARA; RARG; RXRA; VPS4B,RARG,4,1,GO:0048732 gland development *; GO:0050693 LBD domain binding; GO:0051099 positive regulation of binding; GO:0090611 ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway
3517,GOLGA2; RAB1B; SEC23IP; TRAPPC13; TRIP11,TRAPPC13,4,0,GO:0002079 inner acrosomal membrane; GO:0008356 asymmetric cell division; GO:0060050 positive regulation of protein glycosylation; GO:0099041 vesicle tethering to Golgi
3451,GADD45B; MAP2K3; MAP3K4; MAPK14; PPM1A,GADD45B,4,0,GO:0010991 negative regulation of SMAD protein complex assembly; GO:0033192 calmodulin-dependent protein phosphatase activity; GO:0048273 mitogen-activated protein kinase p38 binding; GO:1900015 regulation of cytokine production involved in inflammatory response
4826,DAPK3; LUZP1; ROCK1; ROCK2; STK17B,LUZP1; ROCK2,4,1,GO:0051246 regulation of protein metabolic process; GO:0071394 cellular response to testosterone stimulus; GO:0090271 positive regulation of fibroblast growth factor production; GO:1903140 regulation of establishment of endothelial barrier *
4793,LZTR1; NF1; SOS1; SPRED1; SPRED2,SPRED1,4,1,GO:0021764 amygdala development; GO:0030291 protein serine/threonine kinase inhibitor activity *; GO:0033081 regulation of T cell differentiation in thymus; GO:0046929 negative regulation of neurotransmitter secretion
3985,ACTR6; H2AFZ; KANSL1; KANSL2; KANSL3; MCRS1,KANSL1; KANSL2,4,4,GO:0043981 histone H4-K5 acetylation *; GO:0043982 histone H4-K8 acetylation *
1097,DLX1; ERH; FAM26E; LAG3; LOXL1; PTPLAD1; SIX4,ERH,4,0,GO:0004720 protein-lysine 6-oxidase activity; GO:0018057 peptidyl-lysine oxidation; GO:0045590 negative regulation of regulatory T cell differentiation; GO:0048699 generation of neurons
2847,BUB3; CDCA8; RAN; RPS20; SFPQ,BUB3; CDCA8,4,0,GO:0032133 chromosome passenger complex; GO:0042382 paraspeckles; GO:1902570 protein localization to nucleolus
2115,ACO2; ADSL; GMPS; TFRC; YRDC,ADSL; YRDC,4,0,GO:0006101 citrate metabolic process; GO:0006450 regulation of translational fidelity; GO:0009168 purine ribonucleoside monophosphate biosynthetic process
706,ABCF1; C1orf27; CDK5RAP3; DDRGK1; DDX31; DNAJC21; EBNA1BP2; EFTUD1; GNL1; GPATCH4; NEMF; NOLC1; PINX1; RBM34; RPF1; SBDS; TRPM7; UBA5; UFC1; UFL1; UFM1; UFSP2; WDR89; ZNF622,EBNA1BP2; GNL1,4,0,GO:0071569 protein ufmylation; GO:1990592 protein K69-linked ufmylation
714,CARM1; CBFB; CNOT11; MGEA5; RUNX1; RUNX2,RUNX2,4,0,"GO:0019919 peptidyl-arginine methylation, to asymmetrical-dimethyl arginine; GO:0035242 protein-arginine omega-N asymmetric methyltransferase activity; GO:0045637 regulation of myeloid cell differentiation; GO:2000171 negative regulation of dendrite development"
4191,COPB2; NHP2L1; NUDT21; PHF5A; PSMA6; SMU1,PSMA6; SMU1,4,0,GO:0017091 AU-rich element binding; GO:0042382 paraspeckles
3524,DLD; DLST; GOT2; MRPS36; OGDH,MRPS36,4,0,GO:0030976 thiamine pyrophosphate binding; GO:0034604 pyruvate dehydrogenase (NAD+) activity; GO:0045254 pyruvate dehydrogenase complex; GO:0061732 mitochondrial acetyl-CoA biosynthetic process from pyruvate
